Year,Country,Economic_Rank,Institutional_Rank,Quality_of_Life_Rank,Ease_of_Living_Rank,Sustainability_Rank
1971,Slovenia,3,13,25,1,19
1971,Poland,15,9,16,2,18
1971,Lithuania,16,16,7,3,26
1971,Curacao,5,2,59,5,78
1971,Cuba,6,6,54,6,24
1971,Belarus,59,7,13,7,7
1971,Sweden,83,98,1,8,1
1971,Iceland,62,3,10,9,41
1971,Switzerland,69,20,2,10,67
1971,Qatar,36,1,58,11,4
1971,Puerto Rico,37,27,8,12,25
1971,Europe & Central Asia (IDA & IBRD countries),9,18,41,12,64
1971,Cyprus,4,45,51,14,87
1971,Canada,28,96,3,15,40
1971,United States,20,23,17,15,95
1971,Ireland,91,12,6,16,30
1971,Antigua and Barbuda,32,5,56,18,43
1971,Bermuda,27,4,57,18,45
1971,Belgium,22,29,18,19,85
1971,Sint Maarten (Dutch part),94,28,4,20,12
1971,New Zealand,150,24,12,21,3
1971,Post-demographic dividend,155,10,10,21,20
1971,North America,50,34,15,22,27
1971,Euro area,9,94,37,23,51
1971,Europe & Central Asia,9,19,61,24,49
1971,Bulgaria,48,42,14,25,33
1971,Croatia,7,49,52,26,71
1971,Estonia,8,66,49,27,53
1971,Hungary,114,22,19,28,6
1971,Montenegro,23,102,33,29,13
1971,Italy,34,76,26,30,10
1971,Aruba,63,6,55,31,35
1971,Denmark,108,67,3,32,15
1971,Latvia,12,126,43,33,32
1971,Austria,41,74,24,34,38
1971,European Union,81,37,19,35,22
1971,United Kingdom,151,103,9,36,2
1971,OECD members,97,21,29,37,57
1971,France,118,44,31,38,8
1971,St. Martin (French part),137,15,40,39,34
1971,Japan,123,79,21,40,9
1971,Netherlands,103,59,23,40,42
1971,Grenada,145,25,39,41,11
1971,Barbados,58,82,44,42,29
1971,Tajikistan,2,89,88,43,101
1971,Greece,159,107,20,44,5
1971,"Bahamas, The",54,26,60,45,46
1971,High income,135,60,32,46,31
1971,Finland,106,85,30,47,28
1971,Malta,76,30,53,48,21
1971,Norway,105,95,28,48,39
1971,Lebanon,19,75,76,49,66
1971,Singapore,87,53,48,50,23
1971,Kuwait,31,32,68,51,63
1971,Georgia,150,51,35,52,62
1971,Israel,132,155,5,52,70
1971,Trinidad and Tobago,149,86,38,52,16
1971,Uruguay,169,83,27,53,14
1971,Gibraltar,145,31,42,54,68
1971,Channel Islands,166,90,22,56,48
1971,North Macedonia,47,38,71,57,58
1971,Spain,129,81,34,58,77
1971,Romania,52,46,69,59,69
1971,Germany,101,117,36,60,65
1971,Armenia,60,56,70,61,59
1971,Argentina,33,77,81,62,50
1971,Luxembourg,102,121,47,64,52
